run_results (1)
restuarant_name,restuarant_type,restuarant_no_of_review,restuarant_telephone,restuarant_address,restuarant_opening_hour,restuarant_rating
"The Chinese Restaurant, Hyatt Regency Hong Kong, Tsim Sha Tsui",Chinese,78 reviews,+852 3721 7788,"3/F, Hyatt Regency Hong Kong, 18 Hanoi Road, Tsim Sha Tsui, Kowloon, Hong Kong, China",,4.5
"The Mandarin Cake Shop - Mandarin Oriental, Hong Kong",Cafe,149 reviews,+852 2825 4008,"5 Connaught Road Central | Central, Hong Kong, China",8:00 AM - 8:00 PM,4.5
Dim Sum Library,Chinese,224 reviews,+852 3643 0088,"Shop 124, 1/F, Pacific Place, 88 Queensway, Admiralty, Hong Kong, China",11:30 AM - 11:30 PM,4
Passion by Gerard Dubois (Langham Place),French,78 reviews,+852 2967 8812,"Shop 11, 4/F, Langham Place, No.8 Argyle Street, Mong Kok, Hong Kong, China",,4
Cafe Landmark,Cafe,218 reviews,+852 2526 4200,"Shop 107-108, 1/F, LANDMARK ATRIUM, 12-16 Des Voeux Road Central, Central, Hong Kong, China",8:00 AM - 9:00 PM,4
Pret A Manger,Soups,98 reviews,+852 2537 9230,"Shop W6, Central MTR Station , Central District, Hong Kong, China",10:00 AM - 10:00 PM,4
YMCA Hongkong The Mall Cafe,Cafe,252 reviews,+852 2369 2211,,7:00 AM - 11:00 PM,4
Santorini Greek Restaurant,Mediterranean,208 reviews,+852 2810 6106,"LG/F, 51 Elgin Street, SOHO, Central, Hong Kong, China",,4
208 Duecento Otto,Italian,337 reviews,+852 2549 0208,"208 Hollywood Road, Hong Kong, China",,4
Thai on High,Asian,44 reviews,+852 2858 7380,,,4.5
Imasa,Japanese,111 reviews,+852 2696 6715,"1/F, The Peninsula Hong Kong, Salisbury Road | Tsim Sha Shui, Hong Kong, China",6:00 PM - 10:30 PM,4.5
Nepal - Nepalese Cuisine,Asian,166 reviews,+852 2869 6212,"14 Staunton Street, Hong Kong, China",6:00 PM - 11:00 PM,4
Nara Thai Resturant,Asian,146 reviews,+852 2332 2238,,,4
Koh Tomyums,Asian,98 reviews,+852 2987 0767,"105B, Block A, D Deck, Hong Kong, China",12:00 PM - 11:00 PM,4
IKEA Restaurant & Cafe,Fast Food,224 reviews,+852 3125 0888,"L6, Grand Central Plaza, 138 Sha Tin Rural Committee Road, Hong Kong, China",9:30 AM - 8:30 PM,4
Ding Dim 1968,Chinese,807 reviews,+852 9698 1968,"59 Wyndham Street, Central | G/f, Hong Kong, China",11:00 AM - 10:00 PM,4.5
Tiffin Lounge (Grand Hyatt Hong Kong),International,203 reviews,+852 2584 7722,"No.1 Harbour Road, Mezzanine Floor, Grand Hyatt Hong Kong | Mezzanine Floor, Grand Hyatt Hong Kong, Hong Kong, China",12:00 PM - 11:00 PM,4.5
MoMo Cafe - Courtyard by Marriott Hong Kong Sha Tin,Asian,136 reviews,+852 3940 8888,"1 On Ping Street, Courtyard By Marriott Hong Kong Sha Tin Hotel, Shatin | Level 1 of Courtyard by Marriott Hong Kong Shatin, Hong Kong, China",6:30 AM - 11:30 PM,4
Soho Spice,Asian,215 reviews,+852 2521 1600,"G/F, 47B Elgin Street, Hong Kong, China",6:00 PM - 11:00 PM,4
Nanhai No. 1,Chinese,394 reviews,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
